t(s),cat,react1,react2,int1,int2,int3,prod,water
1.25000000e+05,5.56798024e-07,1.28373237e-01,1.28705800e-01,6.65127129e-04,2.37710873e-05,5.98976868e-01,1.43254640e-01,0.00000000e+00
1.26000000e+05,5.61781669e-07,1.27799149e-01,1.28133189e-01,6.68079295e-04,2.37703684e-05,5.98972425e-01,1.44402825e-01,0.00000000e+00
1.27000000e+05,5.66832374e-07,1.27225066e-01,1.27560595e-01,6.71057626e-04,2.37696407e-05,5.98967943e-01,1.45551002e-01,0.00000000e+00
1.28000000e+05,5.71951342e-07,1.26650987e-01,1.26988018e-01,6.74062470e-04,2.37689041e-05,5.98963422e-01,1.46699170e-01,0.00000000e+00
1.29000000e+05,5.77139807e-07,1.26076913e-01,1.26415460e-01,6.77094179e-04,2.37681584e-05,5.98958859e-01,1.47847329e-01,0.00000000e+00
1.30000000e+05,5.82399030e-07,1.25502843e-01,1.25842919e-01,6.80153114e-04,2.37674035e-05,5.98954256e-01,1.48995480e-01,0.00000000e+00
1.31000000e+05,5.87730302e-07,1.24928777e-01,1.25270397e-01,6.83239642e-04,2.37666393e-05,5.98949611e-01,1.50143621e-01,0.00000000e+00
1.32000000e+05,5.93134940e-07,1.24354716e-01,1.24697893e-01,6.86354134e-04,2.37658655e-05,5.98944924e-01,1.51291754e-01,0.00000000e+00
1.33000000e+05,5.98614295e-07,1.23780660e-01,1.24125408e-01,6.89496970e-04,2.37650820e-05,5.98940194e-01,1.52439878e-01,0.00000000e+00
1.34000000e+05,6.04169747e-07,1.23206608e-01,1.23552942e-01,6.92668537e-04,2.37642886e-05,5.98935420e-01,1.53587993e-01,0.00000000e+00
1.35000000e+05,6.09802708e-07,1.22632561e-01,1.22980495e-01,6.95869228e-04,2.37634852e-05,5.98930603e-01,1.54736098e-01,0.00000000e+00
1.36000000e+05,6.15514625e-07,1.22058518e-01,1.22408068e-01,6.99099443e-04,2.37626716e-05,5.98925742e-01,1.55884194e-01,0.00000000e+00
1.37000000e+05,6.21306975e-07,1.21484481e-01,1.21835661e-01,7.02359591e-04,2.37618475e-05,5.98920835e-01,1.57032281e-01,0.00000000e+00
1.38000000e+05,6.27181274e-07,1.20910448e-01,1.21263273e-01,7.05650086e-04,2.37610129e-05,5.98915882e-01,1.58180358e-01,0.00000000e+00
1.39000000e+05,6.33139069e-07,1.20336420e-01,1.20690906e-01,7.08971352e-04,2.37601675e-05,5.98910883e-01,1.59328426e-01,0.00000000e+00
1.40000000e+05,6.39181949e-07,1.19762397e-01,1.20118559e-01,7.12323820e-04,2.37593112e-05,5.98905837e-01,1.60476484e-01,0.00000000e+00
1.41000000e+05,6.45311536e-07,1.19188379e-01,1.19546233e-01,7.15707928e-04,2.37584437e-05,5.98900744e-01,1.61624533e-01,0.00000000e+00
1.42000000e+05,6.51529494e-07,1.18614366e-01,1.18973928e-01,7.19124124e-04,2.37575648e-05,5.98895602e-01,1.62772571e-01,0.00000000e+00
1.43000000e+05,6.57837526e-07,1.18040358e-01,1.18401644e-01,7.22572863e-04,2.37566744e-05,5.98890410e-01,1.63920600e-01,0.00000000e+00
1.44000000e+05,6.64237375e-07,1.17466355e-01,1.17829382e-01,7.26054609e-04,2.37557722e-05,5.98885170e-01,1.65068619e-01,0.00000000e+00
1.45000000e+05,6.70730828e-07,1.16892357e-01,1.17257142e-01,7.29569835e-04,2.37548580e-05,5.98879878e-01,1.66216627e-01,0.00000000e+00
1.46000000e+05,6.77319715e-07,1.16318364e-01,1.16684924e-01,7.33119024e-04,2.37539316e-05,5.98874536e-01,1.67364626e-01,0.00000000e+00
1.47000000e+05,6.84005910e-07,1.15744377e-01,1.16112728e-01,7.36702666e-04,2.37529928e-05,5.98869141e-01,1.68512614e-01,0.00000000e+00
1.48000000e+05,6.90791334e-07,1.15170395e-01,1.15540556e-01,7.40321262e-04,2.37520413e-05,5.98863694e-01,1.69660592e-01,0.00000000e+00
1.49000000e+05,6.97677956e-07,1.14596418e-01,1.14968406e-01,7.43975323e-04,2.37510768e-05,5.98858193e-01,1.70808559e-01,0.00000000e+00
1.50000000e+05,7.04667793e-07,1.14022447e-01,1.14396279e-01,7.47665368e-04,2.37500993e-05,5.98852638e-01,1.71956516e-01,0.00000000e+00
1.51000000e+05,7.11762913e-07,1.13448481e-01,1.13824177e-01,7.51391929e-04,2.37491084e-05,5.98847028e-01,1.73104462e-01,0.00000000e+00
1.52000000e+05,7.18965435e-07,1.12874521e-01,1.13252098e-01,7.55155545e-04,2.37481038e-05,5.98841362e-01,1.74252397e-01,0.00000000e+00
1.53000000e+05,7.26277531e-07,1.12300566e-01,1.12680044e-01,7.58956769e-04,2.37470853e-05,5.98835639e-01,1.75400321e-01,0.00000000e+00
1.54000000e+05,7.33701432e-07,1.11726617e-01,1.12108015e-01,7.62796162e-04,2.37460526e-05,5.98829859e-01,1.76548234e-01,0.00000000e+00
1.55000000e+05,7.41239421e-07,1.11152673e-01,1.11536010e-01,7.66674299e-04,2.37450055e-05,5.98824020e-01,1.77696136e-01,0.00000000e+00
1.56000000e+05,7.48893841e-07,1.10578735e-01,1.10964031e-01,7.70591764e-04,2.37439437e-05,5.98818122e-01,1.78844027e-01,0.00000000e+00
1.57000000e+05,7.56667098e-07,1.10004803e-01,1.10392078e-01,7.74549155e-04,2.37428669e-05,5.98812163e-01,1.79991907e-01,0.00000000e+00
1.58000000e+05,7.64561656e-07,1.09430877e-01,1.09820151e-01,7.78547079e-04,2.37417747e-05,5.98806144e-01,1.81139775e-01,0.00000000e+00
1.59000000e+05,7.72580046e-07,1.08856957e-01,1.09248250e-01,7.82586159e-04,2.37406670e-05,5.98800062e-01,1.82287631e-01,0.00000000e+00
1.60000000e+05,7.80724864e-07,1.08283043e-01,1.08676376e-01,7.86667028e-04,2.37395434e-05,5.98793918e-01,1.83435476e-01,0.00000000e+00
1.61000000e+05,7.88998775e-07,1.07709135e-01,1.08104530e-01,7.90790332e-04,2.37384036e-05,5.98787709e-01,1.84583309e-01,0.00000000e+00
1.62000000e+05,7.97404513e-07,1.07135233e-01,1.07532711e-01,7.94956733e-04,2.37372472e-05,5.98781435e-01,1.85731130e-01,0.00000000e+00
1.63000000e+05,8.05944887e-07,1.06561337e-01,1.06960920e-01,7.99166904e-04,2.37360739e-05,5.98775096e-01,1.86878938e-01,0.00000000e+00
1.64000000e+05,8.14622778e-07,1.05987447e-01,1.06389158e-01,8.03421533e-04,2.37348835e-05,5.98768689e-01,1.88026735e-01,0.00000000e+00
1.65000000e+05,8.23441147e-07,1.05413564e-01,1.05817424e-01,8.07721321e-04,2.37336754e-05,5.98762214e-01,1.89174519e-01,0.00000000e+00
1.66000000e+05,8.32403033e-07,1.04839687e-01,1.05245720e-01,8.12066986e-04,2.37324495e-05,5.98755670e-01,1.90322291e-01,0.00000000e+00
1.67000000e+05,8.41511557e-07,1.04265816e-01,1.04674046e-01,8.16459260e-04,2.37312053e-05,5.98749055e-01,1.91470050e-01,0.00000000e+00
1.68000000e+05,8.50769928e-07,1.03691953e-01,1.04102402e-01,8.20898891e-04,2.37299424e-05,5.98742369e-01,1.92617797e-01,0.00000000e+00
1.69000000e+05,8.60181441e-07,1.03118095e-01,1.03530789e-01,8.25386642e-04,2.37286605e-05,5.98735611e-01,1.93765530e-01,0.00000000e+00
1.70000000e+05,8.69749480e-07,1.02544245e-01,1.02959206e-01,8.29923293e-04,2.37273592e-05,5.98728778e-01,1.94913250e-01,0.00000000e+00
